shannon_archive
126.96
106.14
110.85
74.11
90.75
101.92
88.61
84.32
59.64
68.38
72.58
62.64
95.56
100.46
122.39
165.5
98.08
96.9
84.13
91.52
118.72
51.28
314.58
89.52
75.61
63.29
275.51
70.39
107.65
180.37
226.39
200.19
174.52
254.08
58.38
55.93
76.7
39.73
49.61
58.27
45.31
56.58
138.0
56.73
67.79
59.3
247.77
88.4
90.48
90.78
93.24
148.93
93.35
171.87
106.72
42.46
37.57
38.72
46.11
64.29
145.16
155.1
115.83
121.84
140.49
89.92
234.64
138.97
146.25
165.97
56.85
129.1
139.75
94.6
82.02
82.94
185.61
268.26
94.95
251.77
188.61
65.66
86.19
98.08
88.64
89.03
72.28
123.89
132.26
159.35
145.89
196.63
228.03
306.24
84.77
301.43
192.82
106.66
134.88
225.32
74.06
52.99
88.64
178.11
77.56
97.33
283.34
115.12
202.47
211.19
167.68
153.22
349.06
354.13
273.36
32.8
42.7
174.31
188.43
83.03
404.46
176.38
170.19
80.76
43.32
159.7
97.08
91.11
93.77
113.66
115.88
137.93
226.26
182.17
186.64
113.6
75.36
79.77
90.33
137.63
175.98
161.58
333.76
120.33
85.05
150.39
195.3
48.97
42.41
198.59
187.5
144.32
77.96
45.27
320.5
56.04
39.06
169.57
36.59
108.2
166.39
168.49
141.16
304.91
264.59
88.1
48.77
107.69
105.0
119.07
22.92
72.58
35.89
52.83
57.02
33.22
63.76
42.3
45.58
99.75
125.9
170.33
129.85
184.32
79.53
420.92
211.0
212.49
195.64
136.9
340.61
82.54
267.82
173.62
154.68
112.28
134.23
85.12
74.22
72.67
531.31
180.77
131.85
90.18
124.68
79.44
195.73
279.76
279.57
238.98
149.82
122.09
112.38
68.62
343.03
360.61
229.6
158.02
174.76
90.74
167.09
182.06
61.73
276.85
59.03
127.77
78.17
29.81
104.29
143.33
343.03
137.3
121.56
140.52
271.34
99.4
120.58
33.06
56.1
164.74
67.89
60.77
61.74
82.04
50.46
168.3
328.0
191.81
141.16
145.78
157.69
95.02
123.39
25.41
80.12
83.99
151.97
136.8
130.8
88.28
100.25
151.25
254.23
278.43
225.05
368.13
105.62
101.92
40.78
243.04
234.41
126.97
178.27
73.02
240.98
312.78
183.37
127.96
115.92
143.6
21.92
92.63
315.92
235.34
35.65
89.72
89.19
84.18
454.81
158.28
77.67
71.86
166.74
124.53
134.95
140.89
207.3
305.17
113.18
77.99
77.65
125.64
167.22
197.96
68.83
163.19
107.38
88.97
173.61
172.97
297.69
57.05
115.54
111.88
100.15
108.62
97.05
80.54
149.77
138.53
233.67
270.29
5.11
71.63
97.07
140.45
155.84
336.44
145.73
95.91
144.89
127.84
106.13
225.07
213.85
169.82
107.92
70.18
65.9
115.02
95.72
189.86
125.62
266.26
289.34
292.53
296.71
84.29
19.5
88.53
82.5
115.17
177.98
68.63
160.37
101.1
103.37
139.64
92.58
103.1
95.67
98.44
129.44
133.01
101.91
255.55
315.59
326.21
79.71
182.3
30.63
174.04
168.55
219.63
201.18
198.89
105.44
138.28
182.16
163.42
222.3
61.26
88.93
148.58
174.68
110.3
110.68
165.28
183.77
202.44
169.76
162.58
206.65
232.48
377.09
182.35
203.41
165.8
161.36
226.99
95.23
224.67
128.6
172.33
194.54
187.58
147.36
128.26
104.97
394.31
149.39
135.11
142.68
190.42
174.44
123.21
165.11
85.68
131.46
400.8
219.31
163.97
57.7
351.64
235.07
195.28
84.24
134.18
184.04
80.52
223.57
202.64
414.5
85.2
140.71
371.03
227.8
113.42
124.29
139.32
91.22
91.82
146.66
250.53
13.31
111.72
52.11
224.32
154.71
189.34
145.8
95.09
248.9
183.0
165.33
94.94
116.47
121.6
64.17
97.72
156.69
92.58
115.73
63.45
187.46
