shannon_canon_pos,shannon_archive_pos
25544.5,35462.14
15969.46,60105.01
12442.16,22993.95
15649.17,37514.66
19781.03,25423.73
15588.16,24252.35
25554.75,36103.57
16020.5,18071.55
45938.94,35975.88
1616.87,20773.06
15330.42,24825.18
18130.73,30216.57
39736.67,30665.14
15791.63,23616.25
6401.4,21248.48
59999.69,18335.88
64386.58,64624.31
27148.25,21280.75
9413.46,21794.95
17591.55,22416.96
21487.89,32453.27
36327.94,24002.26
28884.26,23886.96
11126.05,21455.8
26425.39,17184.18
8070.58,23344.18
32401.51,60621.33
33622.91,34931.78
51565.78,30850.25
41284.59,8713.23
34738.05,64260.24
4223.95,37845.21
15880.37,29987.82
30292.88,16443.51
6726.8,20450.53
17669.3,37116.96
40551.93,12273.07
12303.38,37508.31
12336.53,27911.97
63423.64,60381.95
9144.09,15503.89
23894.65,29348.08
13688.6,45572.73
12613.13,32470.97
17900.33,17198.48
28289.16,25697.66
28547.12,29974.39
44568.43,15924.76
26204.25,16707.96
16104.85,25882.51
19481.89,34657.75
27392.33,1828.86
13104.15,17604.54
22505.54,8831.43
2074.06,43032.08
24579.9,27038.17
17089.87,34593.55
25905.75,22500.77
14605.94,13316.01
21471.19,43287.12
25799.23,26101.8
19380.36,23918.18
34420.57,16859.54
49123.38,16137.97
12214.34,21861.66
29226.89,12965.01
14380.82,17982.31
32394.84,22365.16
4719.52,16077.3
55311.03,17123.55
28604.1,11307.05
15714.57,34036.12
5344.9,25415.65
14906.33,20459.87
7940.12,15686.97
13029.3,26170.59
19631.53,16929.98
72911.35,35617.72
45261.99,5438.5
16136.28,21699.72
14010.75,17362.74
12021.7,37741.31
4889.16,30490.31
43808.25,29756.78
30143.51,23887.82
7273.28,9130.91
12925.49,31312.26
91185.44,44065.83
19041.78,30635.17
7322.66,35218.51
44431.02,33386.5
15353.37,33356.85
16678.16,13061.11
19931.67,15173.15
28371.22,33822.87
1055.82,20443.51
15531.85,52703.3
2622.43,14370.33
20959.17,35906.56
11360.57,34538.25
23524.5,27240.84
17753.16,23819.7
19045.94,28267.3
11190.69,34636.28
16455.73,41312.93
21014.73,19336.15
26497.21,15419.89
19067.29,10566.99
46406.62,16269.82
30511.1,16167.84
48288.44,15443.45
9553.3,15333.14
11835.4,25692.16
19574.84,33177.03
22027.46,26748.18
21124.69,39869.37
1023.62,23303.61
21062.68,36027.51
48193.78,30575.75
27470.13,29006.37
15825.77,29915.75
20673.76,23923.04
41580.09,20652.89
974.68,19810.8
47875.47,21750.31
19461.34,23994.43
22021.66,25313.61
24116.2,26450.29
17918.62,4171.23
26710.46,8947.59
14678.0,20755.65
13969.62,21280.29
16093.32,15810.56
44655.77,22770.76
34301.99,25974.76
27218.49,12180.41
8219.03,34525.93
23901.28,29323.73
14735.92,22867.4
14927.34,19978.93
19679.92,15272.19
18934.31,33922.2
22646.71,22993.75
18527.79,46524.38
9457.09,6159.94
34750.2,15783.37
22967.75,18474.13
19542.89,12460.37
10665.32,19033.21
34038.98,16469.83
30073.04,43415.74
11213.68,21865.97
2074.15,105315.21
24327.86,27061.58
27808.08,34735.41
30428.79,36039.18
7478.54,25147.36
24905.21,18414.98
13580.12,30591.26
21331.42,21091.8
11325.9,18140.94
14353.33,45916.26
20945.61,29654.72
33009.98,24738.62
7555.34,13682.6
11961.68,13740.31
13527.59,12163.54
11719.19,14285.85
24073.07,36242.82
25692.66,14196.23
10101.08,42695.27
10101.08,47465.36
21707.3,70695.51
24542.82,32322.24
30376.17,2526.0
2575.35,33548.09
26575.23,37184.66
9402.5,31746.64
64733.49,18809.79
19461.63,21375.37
24967.2,44945.93
26756.08,44128.51
30536.92,33636.76
18070.46,18062.3
43071.36,21879.56
24614.55,43646.68
19333.58,20948.47
22264.81,27025.76
79465.13,21182.37
16863.36,19944.93
8883.35,19631.64
5016.33,18026.04
13940.9,18374.84
14471.12,17841.25
13652.98,24659.16
17737.15,11868.59
21185.21,36922.52
10168.27,9971.19
31958.62,39777.57
26783.36,43857.84
8571.25,25211.78
87781.1,22779.71
79677.24,26647.99
5951.38,20338.21
13610.88,23697.51
22998.08,11876.11
12276.09,20181.37
18565.79,30651.23
8248.42,18270.44
30748.65,38869.51
12655.74,72130.59
18408.46,28639.81
12572.78,17193.41
18977.45,34908.73
24101.51,28999.77
24276.72,25195.46
31436.18,24861.98
60752.35,26890.83
8878.8,31758.08
13658.06,49024.69
11154.3,23260.51
