shannon_canon
376.86
77.6
234.77
45.77
104.65
167.57
261.64
79.57
15.29
24.54
16.9
426.39
53.36
168.6
44.17
145.57
186.86
109.79
222.87
41.24
211.84
149.62
567.49
26.65
31.9
238.76
53.89
60.32
23.07
166.01
151.43
147.2
120.86
334.54
30.47
213.24
64.54
157.45
102.52
299.76
139.87
85.32
102.31
149.52
155.17
75.04
433.81
28.14
204.66
186.6
317.65
105.84
67.87
131.91
160.85
234.81
131.55
79.18
226.52
11.83
29.69
36.67
145.21
21.22
37.93
13.12
53.35
78.77
19.11
185.75
62.2
130.73
135.96
371.53
132.98
105.99
153.18
213.28
228.12
115.75
107.81
53.7
184.91
355.91
27.89
157.32
193.21
70.68
167.15
98.05
153.56
196.88
160.06
102.86
505.93
261.94
758.77
466.87
241.32
239.71
214.45
189.92
176.61
66.05
44.58
15.54
113.94
112.58
50.18
188.13
61.04
18.7
28.83
364.21
169.08
267.06
546.71
142.08
34.63
11.1
45.02
64.4
18.08
27.13
24.8
90.73
138.85
22.74
19.38
46.58
50.72
68.62
37.75
179.08
228.79
102.92
16.06
17.05
155.6
132.95
105.69
94.53
457.93
258.82
961.51
77.82
247.01
670.64
276.46
56.5
257.71
119.59
82.38
84.74
65.02
521.72
565.55
886.34
143.84
36.82
14.32
10.63
41.72
43.49
22.84
180.06
150.24
13.92
223.0
130.95
28.05
81.75
157.55
249.55
101.26
17.5
31.29
89.23
152.02
23.77
868.91
555.28
91.79
226.93
78.04
444.74
347.05
139.18
211.48
197.91
206.42
220.31
272.35
211.07
206.92
147.9
214.88
294.23
314.85
297.37
250.85
413.4
136.02
108.68
581.88
196.29
138.95
165.12
214.3
201.1
68.18
123.04
193.76
156.55
1370.45
204.97
152.17
186.16
195.78
156.44
444.21
59.52
52.38
129.45
130.16
239.74
1166.41
113.97
135.24
6.2
297.12
236.03
226.83
148.84
238.72
299.49
269.86
288.59
282.44
345.49
148.21
66.3
24.98
220.25
128.09
144.09
214.23
135.32
29.22
75.58
69.36
26.38
204.96
291.62
427.5
72.77
181.69
173.65
403.0
236.09
95.68
309.55
54.49
121.72
59.88
233.25
201.95
232.18
112.55
186.26
598.06
160.65
77.41
209.84
65.35
329.28
117.25
166.21
90.85
86.95
280.72
1183.11
89.23
183.6
391.68
158.33
84.95
386.65
1181.02
185.96
192.62
79.56
273.66
79.76
141.7
489.88
149.36
304.0
115.54
46.78
335.56
115.51
136.75
475.29
63.45
162.95
163.63
287.87
186.82
173.15
197.21
277.57
285.65
270.48
56.66
131.54
75.57
7.5
7.6
130.45
127.09
171.14
155.3
187.24
94.33
242.38
130.0
238.24
132.86
5.51
7.15
7.09
196.9
248.11
266.26
190.25
80.44
254.83
38.89
132.53
280.6
359.74
57.36
491.83
247.36
97.25
228.46
292.34
246.29
280.72
72.19
141.51
317.32
330.31
126.51
322.93
87.82
266.53
278.48
218.92
87.43
199.46
139.99
168.6
110.9
270.78
154.25
158.34
197.41
131.01
86.46
168.84
140.85
86.84
96.01
235.99
261.15
303.2
206.45
133.6
57.15
133.0
34.09
208.57
123.71
135.26
254.06
59.83
148.52
113.48
63.13
189.58
292.59
123.08
263.73
75.33
61.13
78.37
100.22
84.05
205.25
101.66
254.08
14.88
138.49
92.15
209.58
78.37
32.19
376.15
344.09
206.47
58.05
88.46
121.26
205.46
171.57
93.14
181.66
45.03
258.3
250.87
340.83
376.88
288.6
40.24
89.24
164.8
44.23
86.74
245.14
83.44
83.73
361.24
58.44
118.71
82.73
68.69
112.35
166.3
164.08
251.67
156.36
118.63
112.12
156.67
64.55
109.52
14.58
183.02
82.74
168.25
77.96
126.03
128.67
125.78
186.29
299.05
91.76
194.74
73.13
